training_loss,training_category_loss,training_mask_loss,epoch,step,validation_loss,validation_category_loss,validation_mask_loss
2.709733416850213e-05,2.6131723643629812e-05,3.218700044271827e-07,0,49,,,
1.7807356925914064e-05,1.753069955157116e-05,9.221916030810462e-08,0,99,,,
1.5121913747861981e-05,1.3812353245157283e-05,4.3652025283336116e-07,0,149,,,
1.29633117467165e-05,1.1085965525126085e-05,6.257822064981156e-07,0,199,,,
1.0032494174083695e-05,9.194392987410538e-06,2.793670716982888e-07,0,249,,,
9.784344001673162e-06,7.906997780082747e-06,6.257822064981156e-07,0,299,,,
8.895795872376766e-06,7.133104190870654e-06,5.875638180441456e-07,0,349,,,
1.0456407835590653e-05,6.044643214409007e-06,1.4705882449561614e-06,0,399,,,
7.21359538147226e-06,5.4509036999661475e-06,5.875638180441456e-07,0,449,,,
6.288742497417843e-06,4.867426468990743e-06,4.7377199052789365e-07,0,499,,,
4.627759608410997e-06,4.3603799895208795e-06,8.912655857784557e-08,0,549,,,
8.718228855286725e-06,4.122641257708892e-06,1.531862722004007e-06,0,599,,,
5.201888143346878e-06,4.009519216197077e-06,3.9745629010212724e-07,0,649,,,
4.765500307257753e-06,3.5731313801079523e-06,3.9745629010212724e-07,0,699,,,
,,,0,734,4.379239271656843e-06,3.4299334856768837e-06,3.164350630413537e-07
3.7257887015584856e-06,3.4584090826683678e-06,8.912655857784557e-08,1,749,,,
5.156594852451235e-06,3.122482212347677e-06,6.780376224924112e-07,1,799,,,
4.2420824684086256e-06,2.932521510956576e-06,4.3652025283336116e-07,1,849,,,
3.811159785982454e-06,2.845549715857487e-06,3.218700044271827e-07,1,899,,,
2.9622765396197792e-06,2.7324970233166823e-06,7.65931389423713e-08,1,949,,,
3.858310719806468e-06,2.548749989728094e-06,4.3652025283336116e-07,1,999,,,
2.5586857645976124e-06,2.408113687124569e-06,5.01907244654376e-08,1,1049,,,
2.6841128146770643e-06,2.4265882530016825e-06,8.584154187474269e-08,1,1099,,,
3.107017619186081e-06,2.2334008917823667e-06,2.912055947490444e-07,1,1149,,,
2.466087835273356e-06,2.218930148956133e-06,8.238589543907437e-08,1,1199,,,
2.3525267351942603e-06,2.061321083601797e-06,9.706852921453901e-08,1,1249,,,
2.297138507856289e-06,2.049980821539066e-06,8.238589543907437e-08,1,1299,,,
3.827701220870949e-06,1.950354544533184e-06,6.257822064981156e-07,1,1349,,,
3.7240101846691687e-06,1.8466635083314031e-06,6.257822064981156e-07,1,1399,,,
3.0363426049007103e-06,1.8439736777509097e-06,3.9745629010212724e-07,1,1449,,,
,,,1,1469,2.77695676231815e-06,1.843185827965499e-06,3.1125702548706613e-07
